F1,Fruits and Fruit Juice,,,,,,,
,Macronutrients,,ENERGY_KC ,PROCNT,A_PROTEI ,MFP_PROT,FAT,CHOCDF
428,Sweet potato leaf,0.0,0.1,0.0,0.0,2.0,0.0,42.0
434,"Swiss chard, raw",0.0,0.0,0.1,0.0,1.6,1.1,42.0
413,"Taro leaf, raw",0.2,0.1,0.3,0.0,3.7,3.0,0.0
421,"Tomato, bitter (African egg plant)",0.1,0.0,0.2,0.0,2.8,0.5,6.0
422,"Tomato, green",0.0,0.1,0.1,0.0,1.1,0.0,6.0
423,"Tomato, ripe",0.0,0.1,0.1,0.0,1.1,0.0,6.0
F4,Vegetable-based local dishes,,,,,,,
,Macronutrients,,ENERGY_KC ,PROCNT,A_PROTEI ,MFP_PROT,FAT,CHOCDF
,,,Kcal,g,g,g,g,g
755,Cabbage relish with Oil,One recipe,34.1,0.7,0.1,0.0,2.1,3.5
754,"Cabbage, onion salad",One recipe,27.8,1.2,0.0,0.0,0.3,6.2
756,Cassava leaf relish with groundnuts,One recipe,113.1,6.4,0,0,6.8,9.9
757,Cassava leaf relish with coconut milk,Four recipes,70.9,2.8,0.0,0.0,4.7,6.7
759,Cow pea leaf relish with coconut milk ,Two  recipes,80.3,2.5,0.0,0.0,6.0,6.4
779,Cow pea leaf relish with groundnuts,One recipe,79.3,4.8,0.0,0.0,4.2,8.3
784,Egg plant relish ,South African food tables,77.3,1.2,0.0,0.0,4.7,7.9
763,"Green leaf, medium, relish with coconut milk",One recipe,107.7,2.8,0.0,0.0,9.2,5.8
762,"Green leaf, medium relish with groundnuts",One recipe,15.0,1.0,0.0,0.0,0.6,2.0
760,"Green leaf, medium, relish without oil",One recipe,5.3,0.8,0.0,0.0,7.0,0.7
761,"Green leaf, medium, relish with oil",One recipe,86.1,1.0,0.0,0.0,14.5,1.0
766,Green peas relish without oil,One recipe,63.5,3.9,0.0,0.0,0.2,12.0
767,Green peas relish with oil,One recipe,82.5,3.8,0.0,0.0,2.6,11.8
778,Green peas relish with oil and coconut milk,Two  recipes,125.6,3.6,0.0,0.0,"7,8",11.9
782,Green peas relish with coconut milk,Two  recipes,120.2,3.7,0.0,0.0,6.6,12.7
786,Hare lettuce (mchunga),One recipe,169.6,1.0,0.0,0.0,17.4,4.5
783,Okra relish without oil,One recipe,16.7,0.9,0.0,0.0,0.2,3.7
775,Okra relish with oil,Two  recipes,74.3,0.8,0.1,0.0,6.2,4.7
765,Okra with coconut milk,One recipe,51.0,1.2,0.0,0.0,3.2,5.7
781,"Okra, fried",Two  recipes,106.2,1.0,0.0,0.0,10.2,4.5
780,Sweet potato leaf relish with coconut milk,One recipe,166.1,3.7,0.0,0.0,13.7,10.6
777,Potato leaf relish with milk ,One recipe,67.7,6.5,1.2,0.0,2.6,6.9
764,Potato leaf relish with oil ,One recipe,131.0,3.4,0.0,0.0,11.0,7.4
772,Potato samosa ,worldfoods ,194.0,3.0,0.0,0.0,9.2,24.4
769,Pumpkin leaf relish without oil,One recipe,16.8,0.8,0.0,0.0,0.2,3.7
768,Pumpkin leaf relish with oil,One recipe,63.8,0.7,0.0,0.0,5.7,3.5
770,Spinach relish with groundnut and oil,One recipe,149.0,1.7,0.0,0.0,15.2,3.7
752,Spinach relish without oil,One recipe,43.5,3.3,0.0,0.0,0.5,8.8
753,Spinach relish with oil,Seven  recipes,108.0,2.7,0.0,0.0,9.0,6.1
771,Spinach relish with sesame seeds,One recipe,61.8,3.2,0.0,0.0,3.8,5.5
785,Tomato relish,South African food tables,34.0,1.1,0.0,0.0,0.3,5.2
F4,Vegetable-based local dishes,,,,,,,
,Macronutrients,FASAT,FAMS,FAPU,CHOLE,FIB,SUCS,PHYTAC
,,g,g,g, mg,g,g,mg
755,Cabbage relish with oil,1.8,0.1,0.1,0.0,1.4,0.6,5.2
754,"Cabbage, onion salad",0.1,0.0,0.2,0.0,2.2,0.3,0.3
756,Cassava leaves relish with groundnuts,0.9,3.3,2.2,0.0,2.0,0.8,263.7
757,Cassava leaves relish with coconut milk,4.0,0.2,0.1,0.0,1.6,0.0,70.0
759,Cow pea leaf relish with coconut milk ,5.2,0.3,0.1,0.1,1.9,0.0,77.5
779,Cow pea leaf relish with groundnuts,0.5,2.0,1.4,0.0,1.6,0.4,168.4
784,Egg plant relish ,2.0,0.6,1.7,0.0,2.2,1.7,16.5
763,"Green leaf, medium, relish with coconut milk",8.0,0.5,0.1,0.0,4.1,0.0,121.5
762,"Green leaf, medium relish with groundnuts",0.1,0.3,0.2,0.0,0.8,0.0,27.8
760,"Green leaf, medium, relish without oil",0.0,0.0,0.0,0.0,0.7,0.0,7.0
761,"Green leaf, medium, relish with oil",7.9,0.5,0.1,0.0,0.9,0.0,22.2
766,Green peas relish without oil,0.0,0.0,0.1,0.0,4.1,3.2,20.9
767,Green peas relish with oil,2.0,0.2,0.1,0.0,3.9,3.2,19.8
778,Green peas relish with oil and coconut milk,6.7,0.4,0.3,0.0,4.6,2.4,79.1
782,Green peas relish with coconut milk,5.7,0.3,0.2,0.0,5.1,3.0,69.8
786,Hare lettuce (mchunga),14.8,1.1,0.4,0,0.9,0.3,14.7
783,Okra relish without oil,0.1,0.0,0.1,0.1,1.9,0.1,39.7
775,Okra relish with oil,5.6,0.4,0.2,0.0,1.3,0.5,24.2
765,Okra with coconut milk,2.7,0.1,0.1,0.0,0.0,2.0,54.0
781,"Okra, fried",8.7,0.6,0.2,0.0,1.5,0.1,38.5
780,Sweet potato leaf relish with coconut milk,11.9,0.6,0.2,0.0,7.1,0.0,188.4
777,Potato leaf relish with milk ,1.4,0.8,0.1,8.0,4.0,0.0,53.4
764,Potato leaf relish with oil ,9.4,0.5,0.4,0.0,0.7,0.2,84.0
772,Potato samosa ,1.3,2.1,5.3,0.0,1.1,0.2,91.0
769,Pumpkin leaf relish without oil,0.0,0.0,0.1,0.0,1.8,0.2,21.2
768,Pumpkin leaf relish with oil,4.9,0.3,0.2,0.0,1.7,0.2,20.0
770,Spinach relish with groundnut and oil,12.5,1.2,0.5,0.0,0.5,0.2,0.6
752,Spinach relish without oil,0.0,0.0,0.1,0.0,1.2,0.1,35.1
753,Spinach relish with oil,7.8,0.5,0.2,0.0,0.6,0.1,30
771,Spinach relish with sesame seeds,0.5,1.4,1.7,0.0,1.6,0.1,398.2
785,Tomato relish,0.1,0.1,0.1,0.0,1.7,0.0,20.9
