A1,Cereal and Cereal products,,,,,,,,,,,,
,,,,,,,,,,,,,
,Amino Acids,TRP,THR,ILE,LEU,LYS,MET,CYS,PHE,TYR,VAL,ARG,HIS
512,Chapati with oil,51.2,113.3,143.8,285.8,92.0,73.6,88.0,209.3,125.3,167.3,167.9,92.6
532,Donut-African,44.5,98.5,125.0,248.5,80.0,64.0,76.5,182.0,109.0,145.5,0.0,0.0
525,Maize and kidney bean dish,135.1,308.3,420.3,748.9,283.9,165.9,272.3,526.4,243.6,398.9,383.3,189.0
523,Maize and sorgum ugali (stiff porridge) ,38.8,105.3,143.3,433.3,78.3,60.7,42.7,163.7,99.6,182.3,115.1,72.9
531,Maize porridge with margarine and sugar,4.0,21.3,178.5,450.9,114.0,91.5,110.0,260.0,156.0,207.5,208.5,115.0
505,Maize porridge without sugar and milk,7.4,39.8,100.9,181.9,151.2,30.0,28.4,108.0,56.9,122.8,179.2,62.9
506,Maize porridge with sugar,6.0,31.0,20.4,39.7,16.0,11.9,10.2,27.9,23.1,28.8,28.3,17.3
502,Maize porridge with sugar and egg,42.6,152.0,40.0,137.0,21.0,17.0,13.0,50.0,30.0,52.0,33.0,23.0
507,Maize porridge with sugar and milk,19.8,75.7,166.2,315.0,203.8,95.4,73.4,173.6,135.6,194.4,192.0,84.6
519,Maize ugali (stiff porridge) ,19.0,95.2,100.7,327.2,138.6,70.5,50.1,135.9,106.3,132.7,311.8,82.8
508,Millet porridge with sugar,16.0,36.0,42.9,71.7,41.7,12.6,10.6,41.1,29.0,46.4,56.7,21.9
509,Mix flour porridge with sugar,13.0,39.3,578.0,1019.0,1123.0,365.0,142.0,501.0,424.0,656.0,836.0,366.0
514,Pancake ,67.5,189.1,227.9,409.8,215.6,122.8,120.3,282.2,186.0,260.6,259.3,125.2
543,Rice biriyani ,119.5,405.8,490.6,733.8,746.7,256,135.9,399.7,322.8,506.3,625,276.5
516,Rice boiled without oil,36.7,111.9,173.1,360.1,240.0,101.7,63.3,180.4,141.3,216.1,274.3,111.2
517,Rice boiled with oil,34.3,104.6,151.5,282.0,218.0,85.5,63.3,174.3,116.1,203.0,268.1,86.8
530,Rice bread ,4.2,18.1,17.9,52.1,16.0,9.7,6.1,16.3,13.5,16.7,16.6,10.1
524,Rice bun,5.6,29.6,28.0,96.0,21.6,16.0,14.4,38.4,32.0,39.2,39.2,24.0
515, Rice and meat pillau ,67.3,261.4,269.6,485.1,484.3,151.1,70.1,239.5,204.1,295.5,385.7,203.5
544,Rice and mung dish with coconut milk,54.9,180,192.8,366.3,227.1,89.5,78,243,151,259.7,423.7,121.5
545,Rice and mung dish without coconut milk,39.4,130.6,139.5,265.4,165.8,64.4,54,175.9,109.1,182.9,255.7,89
533,Rice poridge with coconut milk without sugar,14.5,48.0,51.0,107.3,54.6,24.8,25.8,66.3,42.7,77.5,192.2,31.9
528,Riceporridge with sugar,7.8,23.8,28.8,55.2,24.1,15.7,13.7,35.6,22.4,40.6,55.4,15.7
,,,,,,,,,,,,,
A2,Cereal-based local dishes,,,,,,,,,,,,
,,,,,,,,,,,,,
,Amino Acids,TRP,THR,ILE,LEU,LYS,MET,CYS,PHE,TYR,VAL,ARG,HIS
,,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,,,,,,,,,
521,Rice ugali (stiff porridge) ,32.0,97.6,101.8,133.1,123.1,33.7,45.3,94.2,124.2,125.8,281.0,53.2
518,Rice with coconut milk,49.0,151.0,165.0,307.0,153.0,75.0,80.0,202.0,118.0,215.0,279.0,94.0
540,Rice with ground meat,71.6,267.1,276.2,510.9,482.9,142.5,73.3,279.5,213.2,308.1,404.3,210.2
522,Sorgum and millet ugali (stiff porridge) ,38.8,105.3,143.3,433.3,78.3,60.7,42.7,163.7,99.6,182.3,115.1,72.9
511,Sorgum porridge with sugar,11.0,35.0,29.0,100.0,23.0,17.0,15.0,40.0,33.0,41.0,41.0,25.0
527,Vermicelli - cooked ,67.7,206.0,235.6,775.6,136.0,101.2,82.1,297.8,175.6,311.1,271.5,134.2
535,Vermicelli with coconut milk and sugar,57.0,173.0,199.0,686.0,103.0,84.5,66.0,251.0,147.5,258.0,163.5,113.0
536,Vermicell with oil and sugar,60.5,183.8,210.6,708.0,116.1,90.0,71.9,266.0,156.7,276.0,212.0,119.8
537,Vermicelli with coconut milk and salt,57.0,173.0,199.0,686.0,103.0,84.5,66.0,147.5,258.0,163.5,113.0,67.1
529,"Wheat fritter, sweet",23.0,51.0,64.0,128.0,41.0,33.0,39.0,94.0,56.0,75.0,75.0,41.0
542,Wheat porridge,17.1,35.3,51.5,91.3,25.5,20.7,37.5,64.7,35.0,56.8,49.3,27.2
