A1,Cereal and Cereal products,,,,,,,,,,,,
,,,,,,,,,,,,,
,Vitamins,VITA,A_VITA,VITD,VITE,VITC,THIA,RIBF,NIA,VIT B6,FOL,VIT B12,PANT
,Vitamins,VITA,A_VITA,VITD,VITE,VITC,THIA,RIBF,NIA,VIT B6,FOL,VIT B12,PANT
,,µ g RE,µ g RE,µ g ,µ g ,mg,mg,mg,mg,mg,µ g ,µ g ,mg
534,Cake (home made),208.3,208.3,0.6,0.8,0.0,0.0,0.1,0.3,0.00,11.2,0.2,0.3
513,"Chapati, dry, Indian",0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.6,0.0,9.0,0.0,0.2
512,Chapati with oil,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.6,0.0,10.4,0.0,0.2
532,"Donut, African",0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.6,0.00,9.0,0.0,0.2
525,Maize and kidney bean dish,0.0,0.0,0.0,0.1,0.5,0.1,0.1,1.0,0.1,29.6,0.0,0.2
523,Maize and sorghum ugali (stiff porridge) ,2.1,0.0,0.0,0.3,0.0,0.1,0.0,0.8,0.1,4.3,0.0,0.3
531,Maize porirdge with margarine and sugar,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.5,0.0,32.6,0.0,0.1
505,Maize porridge without sugar and milk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,3.0,0.0,0.0
506,Maize porridge with sugar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,3.0,0.0,0.0
502,Maize porridge with sugar and egg ,53.5,53.5,0.2,0.6,0.2,0.1,0.2,0.4,0.1,13.7,0.3,0.4
507,Maize porridge with sugar and milk,55.0,55.0,0.0,0.0,1.0,0.0,0.2,0.1,0.1,6.0,0.4,0.4
519,Maize ugali (stiff porridge) ,0.0,0.0,0.0,0.3,0.0,0.1,0.1,1.2,0.1,11.6,0.0,0.1
508,Millet porridge with sugar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,3.0,0.0,0.0
509,Mix flour porridge with sugar,0.5,0.0,0.0,0.8,0.0,0.0,0.0,0.8,0.0,7.6,0.0,0.2
514,Pancake ,38.0,38.0,0.2,0.6,0.0,0.1,0.1,0.8,0.1,20.8,0.2,0.5
543,Rice biriyani ,16.6,12.9,0.0,0.1,4.9,0.1,0.1,2.1,0.2,9.8,0.1,0.6
516,Rice boiled without oil,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.1,2.6,0.0,0.0
517,Rice boiled with oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,6.3,0.0,0.7
530,Rice bread ,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.4,0.1,3.3,0.0,0.4
524,Rice bun,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,4.8,0.0,0.9
515, Rice and meat pillau ,14.2,0.0,0.0,0.0,1.2,0.0,0.1,1.1,0.1,5.6,0.4,0.4
544,Rice and mung dish with coconut milk,0.4,0.0,0.0,0.1,0.9,0.1,0.0,0.7,0.1,53.1,0.0,0.5
545,Rice and mung dish without coconut milk,0.4,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.1,40.9,0.0,0.4
533,Rice Porridge with coconut milk without sugar,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.4,0.0,9.9,0.0,0.3
528,Rice porridge with sugar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.6,0.0,0.1
A2,Cereal-based local dishes,,,,,,,,,,,,
,,,,,,,,,,,,,
,Vitamins ,VITA,A_VITA,VITD,VITE,VITC,THIA,RIBF,NIA,VIT B6,FOL,VIT B12,PANT
,,µ g RE,µ g RE,µ g ,µ g ,mg,mg,mg,mg,mg,µ g ,µ g ,mg
521,Rice ugali (stiff porridge) ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,2.5,0.0,0.5
518,Rice with coconut milk,0.0,0.0,0.0,0.1,1.1,0.0,0.0,0.5,0.1,2.6,0.0,0.5
540,Rice with ground meat,194.2,0.0,0.0,0.8,0.2,0.1,0.1,2.0,0.2,13.6,0.3,0.6
522,Sorgum and millet ugali (stiff porridge) ,2.1,0.0,0.0,0.3,0.0,0.1,0.0,0.8,0.1,4.3,0.0,0.3
511,Sorgum porridge with sugar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.1
527,Vermicelli - cooked ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,10.0,0.0,0.2
535,Vermicelli with coconut milk and sugar,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.6,0.1,12.3,0.0,0.2
536,Vermicell with oil and sugar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,10.0,0.0,0.2
537,Vermicelli with coconut milk and salt,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.7,0.1,15.3,0.0,0.2
529,"Wheat fritter, sweet",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,3.0,0.0,0.1
542,Wheat porridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.8,0.0,0.0
